CUR_NME,SITE_TYPE,GIS_AREA,DISTRICT
Aloeridge Nature Reserve,Nature Reserve,4,Garden Route
Blaauwberg Conservation Area Local Nature Reserve,Nature Reserve,558,City of Cape Town
Blue Hill Nature Reserve,Nature Reserve,2271,Garden Route
Brodie Link Provincial Nature Reserve,Nature Reserve,92,Overberg
Cape Peninsula Nature Area,Nature Reserve,6272,City of Cape Town
Craigantlet Nature Reserve,Nature Reserve,48,Overberg
Darling Local Nature Reserve,Nature Reserve,15,West Coast
Darling Renosterveld Local Nature Reserve,Nature Reserve,37,West Coast
Dassen Island Provincial Nature Reserve,Nature Reserve,269,West Coast
Dyer Island Provincial Nature Reserve,Nature Reserve,31,Overberg
False Bay Seal Island Provincial Nature Reserve,Nature Reserve,3,City of Cape Town
Galgeheuwel Local Nature Reserve,Nature Reserve,105,Cape Winelands
Gamkaskloof Provincial Nature Reserve,Nature Reserve,4391,Central Karoo
Geyser Island Provincial Nature Reserve,Nature Reserve,5,Overberg
Grootvlei Nature Reserve,Nature Reserve,764,Cape Winelands
Heidelberg Nature Reserve,Nature Reserve,16,Garden Route
Kleyn Hagel Kraal Nature Reserve,Nature Reserve,29,Overberg
Kruis River Wetland Nature Reserve,Nature Reserve,195,Garden Route
Lambert's Bay Penguin Island Provincial Nature Reserve,Nature Reserve,7,West Coast
Land-en-Zeezicht Nature Reserve,Nature Reserve,285,City of Cape Town
Langebaan Nature Area,Nature Reserve,5143,West Coast
Paternoster Rocks Provincial Nature Reserve,Nature Reserve,11,West Coast
Postberg Nature Reserve,Nature Reserve,2453,West Coast
Quoin Rock Provincial Nature Reserve,Nature Reserve,1,Overberg
Rietvlei Nature Area,Nature Reserve,549,City of Cape Town
Rooiolifantskloof Nature Reserve,Nature Reserve,6295,Garden Route
Rooisand Provincial Nature Reserve,Nature Reserve,294,Overberg
Seal Ledges Provincial Nature Reserve,Nature Reserve,1,City of Cape Town
Silvermine Nature Reserve,Nature Reserve,1680,City of Cape Town
Table Mountain Nature Reserve,Nature Reserve,3222,City of Cape Town
Vaalhoek Provincial Nature Reserve,Nature Reserve,1337,Garden Route
Vondeling Island Provincial Nature Reserve,Nature Reserve,15,West Coast
Zeekoevlei Local Nature Reserve,Nature Reserve,421,City of Cape Town
Towerland Trust Nature Reserve,Nature Reserve,248,Garden Route
Annet Private Nature Reserve,Nature Reserve,126,Garden Route
Annex Arch Rock Private Nature Reserve,Nature Reserve,54,Garden Route
Banghoek Private Nature Reserve,Nature Reserve,1035,West Coast
Basjanskloof Private Nature Reserve,Nature Reserve,6449,Cape Winelands
Bergwater Private Nature Reserve,Nature Reserve,304,Cape Winelands
Blaauw Mountain Private Nature Reserve,Nature Reserve,339,City of Cape Town
Black River Private Nature Reserve,Nature Reserve,155,Garden Route
Blomberg Private Nature Reserve,Nature Reserve,278,Garden Route
Blombos Private Nature Reserve,Nature Reserve,61,Garden Route
Blydskap Private Nature Reserve,Nature Reserve,16,Garden Route
Bobbejaanskloof Private Nature Reserve,Nature Reserve,151,Garden Route
Bojaansklip Private Nature Reserve,Nature Reserve,195,West Coast
Boontjiesrivier Park Private Nature Reserve,Nature Reserve,221,Cape Winelands
Bosbokstrand Private Nature Reserve,Nature Reserve,963,Overberg
Bosnes Private Nature Reserve,Nature Reserve,4,Garden Route
Botterboom Private Nature Reserve,Nature Reserve,706,Overberg
Brackenburn Private Nature Reserve,Nature Reserve,91,Garden Route
Brian Mansergh Private Nature Reserve,Nature Reserve,84,Overberg
Buitenverwachting Private Nature Reserve,Nature Reserve,248,Garden Route
Cape Flats Private Nature Reserve,Nature Reserve,33,City of Cape Town
Cederberg Private Nature Reserve,Nature Reserve,4062,West Coast
Chaynouqua Private Nature Reserve,Nature Reserve,60,Overberg
Coppull Private Nature Reserve,Nature Reserve,91,Overberg
Die Duine Private Nature Reserve,Nature Reserve,772,Garden Route
Die Eiland Private Nature Reserve,Nature Reserve,56,West Coast
Die Poort Private Nature Reserve,Nature Reserve,1253,Garden Route
Diepklowe Private Nature Reserve,Nature Reserve,218,Overberg
Doornkloof Private Nature Reserve,Nature Reserve,563,Cape Winelands
Doorspring Private Nature Reserve,Nature Reserve,731,West Coast
Drie Kuilen Private Nature Reserve,Nature Reserve,1062,Cape Winelands
Drooge Riviers Berg Private Nature Reserve,Nature Reserve,956,Cape Winelands
Duin-'n-See Private Nature Reserve,Nature Reserve,862,Garden Route
Duivenhoksriviermond Private Nature Reserve,Nature Reserve,285,Garden Route
Eagle's Rest Private Nature Reserve,Nature Reserve,19,City of Cape Town
Featherbed Private Nature Reserve,Nature Reserve,57,Garden Route
Freshwater Sands Private Nature Reserve,Nature Reserve,773,Overberg
Fynbosrand Private Nature Reserve,Nature Reserve,104,Overberg
Fynbos Ridge Private Nature Reserve,Nature Reserve,6,Garden Route
George Private Nature Reserve,Nature Reserve,138,Garden Route
Greylands Private Nature Reserve,Nature Reserve,477,Garden Route
Groenkant Private Nature Reserve,Nature Reserve,154,Garden Route
Groenfontein Private Nature Reserve,Nature Reserve,14014,Cape Winelands
Groot Dam Private Nature Reserve,Nature Reserve,181,Garden Route
Groot Hagelkraal Private Nature Reserve,Nature Reserve,1321,Overberg
Groot Paternoster Private Nature Reserve,Nature Reserve,342,West Coast
Grootbos Private Nature Reserve,Nature Reserve,122,Overberg
Grotto Bay Private Nature Reserve,Nature Reserve,964,West Coast
Hannes Zaaiman Private Nature Reserve,Nature Reserve,166,Garden Route
Han's Gift Private Nature Reserve,Nature Reserve,73,West Coast
Hasekraal Private Nature Reserve,Nature Reserve,2695,Overberg
Hebron Private Nature Reserve,Nature Reserve,60,Overberg
Henry Kruger Private Nature Reserve,Nature Reserve,4132,Central Karoo
Pierre-Jeanne Gerber No 10 Private Nature Reserve,Nature Reserve,111,Garden Route
Pierre-Jeanne Gerber No 3 Private Nature Reserve,Nature Reserve,23,Overberg
Plettenberg Bay Club Private Nature Reserve,Nature Reserve,67,Garden Route
Quaggas Berg Private Nature Reserve,Nature Reserve,562,Cape Winelands
Radyn Dam Private Nature Reserve,Nature Reserve,690,West Coast
Red Hill Fynbos Private Nature Reserve,Nature Reserve,21,City of Cape Town
Rhenosterkop Private Nature Reserve,Nature Reserve,1005,Overberg
Rivendell Private Nature Reserve,Nature Reserve,24,Garden Route
Riverine Rabbit Private Nature Reserve,Nature Reserve,1250,Cape Winelands
Rondeberg Oord Private Nature Reserve,Nature Reserve,266,West Coast
Ruvami Private Nature Reserve,Nature Reserve,917,Overberg
Samland Private Nature Reserve,Nature Reserve,9,Garden Route
San Sebastian Private Nature Reserve,Nature Reserve,457,Overberg
Sandies Glen Private Nature Reserve,Nature Reserve,132,Overberg
Sangebethu Private Nature Reserve,Nature Reserve,1875,Cape Winelands
Zeven Puts Private Nature Reserve,Nature Reserve,648,West Coast
